_id,target_words,responses,age,gender,readingSkills,writingSkills,listeningSkills,speakingSkills,average_rating
6638a21dd8a5b440f8968bae,"['विद्यालय,पैंट,पहाड़,गुलाब,तालाब,मोती,केक,बछड़ा,हथेली,गुलाब,गाड़ी,झील']","['विदाई ,विद्यालय ,पैंट ,पहाड़ ,गुलाब ,तालाब ,मोती ,केक ,बछड़ा ,हथेली ,गुलाब ,गाड़ी ,झील ']",22.0,Male,5.0,4.0,5.0,5.0,4.75
6638a21ed8a5b440f8968bc0,"['विद्यालय,पैंट,पहाड़,गुलाब,तालाब,मोती,केक,बछड़ा,हथेली,गुलाब,गाड़ी,झील']","['विदाई ,विद्यालय ,पैंट ,पहाड़ ,गुलाब ,तालाब ,मोती ,केक ,बछड़ा ,हथेली ,गुलाब ,गाड़ी ,झील ']",22.0,Male,5.0,4.0,5.0,5.0,4.75
6638a211d8a5b440f8968b98,"['विद्यालय,पैंट,पहाड़,गुलाब,तालाब,मोती,केक,बछड़ा,हथेली,गुलाब,गाड़ी,झील']","['विदाई ,विद्यालय ,पैंट ,पहाड़ ,गुलाब ,तालाब ,मोती ,केक ,बछड़ा ,हथेली ,गुलाब ,गाड़ी ,झील ']",22.0,Male,5.0,4.0,5.0,5.0,4.75
6638a21ed8a5b440f8968bb9,"['विद्यालय,पैंट,पहाड़,गुलाब,तालाब,मोती,केक,बछड़ा,हथेली,गुलाब,गाड़ी,झील']","['विदाई ,विद्यालय ,पैंट ,पहाड़ ,गुलाब ,तालाब ,मोती ,केक ,बछड़ा ,हथेली ,गुलाब ,गाड़ी ,झील ']",22.0,Male,5.0,4.0,5.0,5.0,4.75
6638a21ed8a5b440f8968bcc,"['विद्यालय,पैंट,पहाड़,गुलाब,तालाब,मोती,केक,बछड़ा,हथेली,गुलाब,गाड़ी,झील']","['विदाई ,विद्यालय ,पैंट ,पहाड़ ,गुलाब ,तालाब ,मोती ,केक ,बछड़ा ,हथेली ,गुलाब ,गाड़ी ,झील ']",22.0,Male,5.0,4.0,5.0,5.0,4.75
6638a2e5d8a5b440f8968be2,"['पिंजरा,विद्यालय,मोती,कलम,बैग,बल्ला,कुर्सी,दुकान,नाव,केक,चप्पू,सोना']","['विदाई ,जैल ,विद्यालय ,,,बैग ,बुट्टा ,कुर्सी ,दुकान ,नाव ,केक ,,']",21.0,Male,4.0,3.0,3.0,4.0,3.5
6638a21fd8a5b440f8968bcf,"['विद्यालय,पैंट,पहाड़,गुलाब,तालाब,मोती,केक,बछड़ा,हथेली,गुलाब,गाड़ी,झील']","['विदाई ,विद्यालय ,पैंट ,पहाड़ ,गुलाब ,तालाब ,मोती ,केक ,बछड़ा ,हथेली ,गुलाब ,गाड़ी ,झील ']",22.0,Male,5.0,4.0,5.0,5.0,4.75
6638a210d8a5b440f8968b96,"['विद्यालय,पैंट,पहाड़,गुलाब,तालाब,मोती,केक,बछड़ा,हथेली,गुलाब,गाड़ी,झील']","['विदाई ,विद्यालय ,पैंट ,पहाड़ ,गुलाब ,तालाब ,मोती ,केक ,बछड़ा ,हथेली ,गुलाब ,गाड़ी ,झील ']",22.0,Male,5.0,4.0,5.0,5.0,4.75
6638a299d8a5b440f8968bd6,"['कार,अंगूठा,ब्रश,पुल,विदूषक,पंखा,रेलगाड़ी,जाल,अंगूठा,संकेत,हथेली,गुफा']","['विदाई ,कार ,अंगूठा ,,कौआ ,,पंखा ,रेलगाड़ी ,जाल ,अंगूठा ,संकेत ,,गुफ़ा ']",22.0,Male,4.0,3.0,4.0,4.0,3.75
6638a211d8a5b440f8968b9c,"['विद्यालय,पैंट,पहाड़,गुलाब,तालाब,मोती,केक,बछड़ा,हथेली,गुलाब,गाड़ी,झील']","['विदाई ,विद्यालय ,पैंट ,पहाड़ ,गुलाब ,तालाब ,मोती ,केक ,बछड़ा ,हथेली ,गुलाब ,गाड़ी ,झील ']",22.0,Male,5.0,4.0,5.0,5.0,4.75
